[0.174s] Invoking command in '/home/autoware/aichallenge2023-integration-final-main/build/tier4_debug_msgs': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/autoware/autoware/install/simulator_compatibility_test:/home/autoware/autoware/install/ad_api_visualizers:/opt/ros/humble /usr/bin/cmake --build /home/autoware/aichallenge2023-integration-final-main/build/tier4_debug_msgs -- -j16 -l16
[0.610s] [  0%] Built target tier4_debug_msgs__cpp
[0.630s] [ 12%] Built target tier4_debug_msgs__rosidl_generator_c
[0.844s] [ 12%] Built target ament_cmake_python_symlink_tier4_debug_msgs
[1.031s] [ 24%] Built target tier4_debug_msgs__rosidl_typesupport_cpp
[1.367s] [ 35%] Built target tier4_debug_msgs__rosidl_typesupport_fastrtps_cpp
[1.383s] [ 47%] Built target tier4_debug_msgs__rosidl_typesupport_introspection_cpp
[1.390s] [ 59%] Built target tier4_debug_msgs__rosidl_typesupport_introspection_c
[1.491s] [ 71%] Built target tier4_debug_msgs__rosidl_typesupport_c
[1.492s] [ 83%] Built target tier4_debug_msgs__rosidl_typesupport_fastrtps_c
[1.662s] [ 83%] Built target tier4_debug_msgs
[1.901s] running egg_info
[1.902s] writing tier4_debug_msgs.egg-info/PKG-INFO
[1.902s] writing dependency_links to tier4_debug_msgs.egg-info/dependency_links.txt
[1.903s] writing top-level names to tier4_debug_msgs.egg-info/top_level.txt
[1.907s] reading manifest file 'tier4_debug_msgs.egg-info/SOURCES.txt'
[1.908s] writing manifest file 'tier4_debug_msgs.egg-info/SOURCES.txt'
[1.942s] [ 84%] Built target tier4_debug_msgs__py
[2.041s] [ 84%] Built target ament_cmake_python_build_tier4_debug_msgs_egg
[2.149s] [ 95%] Built target tier4_debug_msgs__rosidl_generator_py
[2.407s] [ 96%] Built target tier4_debug_msgs__rosidl_typesupport_c__pyext
[2.437s] [ 98%] Built target tier4_debug_msgs__rosidl_typesupport_fastrtps_c__pyext
[2.457s] [100%] Built target tier4_debug_msgs__rosidl_typesupport_introspection_c__pyext
[2.533s] Invoked command in '/home/autoware/aichallenge2023-integration-final-main/build/tier4_debug_msgs' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/autoware/autoware/install/simulator_compatibility_test:/home/autoware/autoware/install/ad_api_visualizers:/opt/ros/humble /usr/bin/cmake --build /home/autoware/aichallenge2023-integration-final-main/build/tier4_debug_msgs -- -j16 -l16
